ds,unique_id,y,trend,ylagged
1949-01-31,Airline1,112.0,0,112.0
1949-02-28,Airline1,118.0,1,118.0
1949-03-31,Airline1,132.0,2,132.0
1949-04-30,Airline1,129.0,3,129.0
1949-05-31,Airline1,121.0,4,121.0
1949-06-30,Airline1,135.0,5,135.0
1949-07-31,Airline1,148.0,6,148.0
1949-08-31,Airline1,148.0,7,148.0
1949-09-30,Airline1,136.0,8,136.0
1949-10-31,Airline1,119.0,9,119.0
1949-11-30,Airline1,104.0,10,104.0
1949-12-31,Airline1,118.0,11,118.0
1950-01-31,Airline1,115.0,12,112.0
1950-02-28,Airline1,126.0,13,118.0
1950-03-31,Airline1,141.0,14,132.0
1950-04-30,Airline1,135.0,15,129.0
1950-05-31,Airline1,125.0,16,121.0
1950-06-30,Airline1,149.0,17,135.0
1950-07-31,Airline1,170.0,18,148.0
1950-08-31,Airline1,170.0,19,148.0
1950-09-30,Airline1,158.0,20,136.0
1950-10-31,Airline1,133.0,21,119.0
1950-11-30,Airline1,114.0,22,104.0
1950-12-31,Airline1,140.0,23,118.0
1951-01-31,Airline1,145.0,24,115.0
1951-02-28,Airline1,150.0,25,126.0
1951-03-31,Airline1,178.0,26,141.0
1951-04-30,Airline1,163.0,27,135.0
1951-05-31,Airline1,172.0,28,125.0
1951-06-30,Airline1,178.0,29,149.0
1951-07-31,Airline1,199.0,30,170.0
1951-08-31,Airline1,199.0,31,170.0
1951-09-30,Airline1,184.0,32,158.0
1951-10-31,Airline1,162.0,33,133.0
1951-11-30,Airline1,146.0,34,114.0
1951-12-31,Airline1,166.0,35,140.0
1952-01-31,Airline1,171.0,36,145.0
1952-02-29,Airline1,180.0,37,150.0
1952-03-31,Airline1,193.0,38,178.0
1952-04-30,Airline1,181.0,39,163.0
1952-05-31,Airline1,183.0,40,172.0
1952-06-30,Airline1,218.0,41,178.0
1952-07-31,Airline1,230.0,42,199.0
1952-08-31,Airline1,242.0,43,199.0
1952-09-30,Airline1,209.0,44,184.0
1952-10-31,Airline1,191.0,45,162.0
1952-11-30,Airline1,172.0,46,146.0
1952-12-31,Airline1,194.0,47,166.0
1953-01-31,Airline1,196.0,48,171.0
1953-02-28,Airline1,196.0,49,180.0
1953-03-31,Airline1,236.0,50,193.0
1953-04-30,Airline1,235.0,51,181.0
1953-05-31,Airline1,229.0,52,183.0
1953-06-30,Airline1,243.0,53,218.0
1953-07-31,Airline1,264.0,54,230.0
1953-08-31,Airline1,272.0,55,242.0
1953-09-30,Airline1,237.0,56,209.0
1953-10-31,Airline1,211.0,57,191.0
1953-11-30,Airline1,180.0,58,172.0
