00000.ppm;774;411;815;446;11
00001.ppm;983;388;1024;432;40
00001.ppm;386;494;442;552;38
00001.ppm;973;335;1031;390;13
00002.ppm;892;476;1006;592;39
00003.ppm;742;443;765;466;4
00003.ppm;742;466;764;489;9
00003.ppm;737;412;769;443;21
00004.ppm;898;342;967;409;21
00004.ppm;906;407;955;459;2
00005.ppm;1172;164;1284;278;9
00006.ppm;926;350;989;414;2
00007.ppm;825;406;864;445;9
00008.ppm;785;460;811;486;2
00008.ppm;779;424;816;461;12
00009.ppm;925;466;949;490;4
00010.ppm;1193;358;1269;436;12
00011.ppm;720;338;770;398;1
00011.ppm;710;265;780;342;21
00012.ppm;979;364;1034;418;1
00013.ppm;1043;281;1120;356;2
00014.ppm;712;492;732;511;21
00015.ppm;770;426;808;462;25
00016.ppm;901;421;959;478;12
00017.ppm;908;302;1031;408;30
00017.ppm;575;495;598;515;11
00018.ppm;950;455;981;486;4
00019.ppm;838;366;896;422;12
00019.ppm;845;423;888;465;2
00020.ppm;825;428;862;463;23
00021.ppm;825;388;877;437;27
00022.ppm;667;472;692;497;27
00023.ppm;998;292;1074;371;1
00023.ppm;46;350;136;444;23
00023.ppm;945;435;1006;492;23
00024.ppm;112;463;143;492;13
00025.ppm;731;422;772;459;13
00025.ppm;734;463;767;497;40
00026.ppm;453;411;492;451;1
00027.ppm;969;386;1024;441;2
00027.ppm;102;375;157;430;2
00028.ppm;775;399;833;453;25
00028.ppm;391;468;417;494;35
00029.ppm;1091;393;1133;436;15
00030.ppm;394;511;420;537;38
00031.ppm;763;426;812;473;25
00031.ppm;597;456;628;488;12
00032.ppm;678;443;707;469;13
00032.ppm;683;469;703;493;33
00033.ppm;22;505;88;571;38
00034.ppm;866;430;899;460;28
00035.ppm;264;475;302;514;38
00035.ppm;678;439;714;474;13
00036.ppm;1133;393;1164;424;12
00036.ppm;1138;424;1163;450;35
00037.ppm;668;527;690;548;38
00038.ppm;1120;444;1142;464;12
00039.ppm;938;167;1022;251;12
00039.ppm;953;252;1015;313;35
00040.ppm;1040;310;1130;400;33
00040.ppm;1017;202;1141;313;13
00041.ppm;997;484;1031;517;38
00042.ppm;916;300;995;374;18
00043.ppm;1036;296;1097;357;12
00043.ppm;1047;357;1092;402;36
00043.ppm;110;444;143;480;35
00044.ppm;752;403;782;433;12
00045.ppm;178;504;240;597;38
00046.ppm;1045;126;1166;247;12
00047.ppm;553;462;579;488;26
00048.ppm;780;443;811;474;40
00048.ppm;771;405;815;443;13
00048.ppm;341;523;380;562;38
00049.ppm;993;397;1025;430;37
00049.ppm;985;354;1028;397;12
00050.ppm;946;373;967;400;34
00050.ppm;941;339;972;372;13
00051.ppm;968;218;1037;287;12
00052.ppm;833;352;870;389;36
00052.ppm;829;281;879;331;12
00053.ppm;1156;333;1196;372;15
00053.ppm;766;438;799;471;35
00054.ppm;1113;436;1152;473;27
00054.ppm;1117;473;1146;502;0
00054.ppm;974;442;999;467;12
00054.ppm;456;520;476;540;38
00055.ppm;702;413;747;455;25
00056.ppm;729;436;760;467;1
00057.ppm;990;418;1036;467;1
00058.ppm;786;394;824;435;12
00059.ppm;793;400;854;461;12
00060.ppm;296;508;323;535;38
00060.ppm;819;441;842;464;2
00061.ppm;1224;333;1285;394;2
00062.ppm;826;469;848;492;12
00063.ppm;815;499;837;521;9
00064.ppm;786;447;808;470;2
00065.ppm;973;377;1022;427;9
00066.ppm;569;483;618;535;38
00067.ppm;949;435;979;465;9
00068.ppm;849;458;872;479;13
00069.ppm;817;459;838;480;2
